BUYER_COUNTY,BUYER_STATE,Year,MME,CALC_BASE_WT_IN_GM
ADAIR,OK,2013,13419591.2288625,10523.007102575
ADAIR,OK,2014,12005418.75,9421.2575
ADAIR,OK,2015,11706734.4525,9073.377765
ADAIR,OK,2016,9699238.807500001,7536.768745
ADAIR,OK,2017,10238083.8675,7906.623555
ADAIR,OK,2018,10487460.0525,8010.094365
ADAIR,OK,2019,9292291.2975,7121.304485
ADAMS,CO,2006,68317235.67325,51050.0120805
ADAMS,CO,2007,78828583.71155,58348.7808177
ADAMS,CO,2008,94426792.80365,69454.8871981
ADAMS,CO,2009,110355732.5950875,80674.68283972499
ADAMS,CO,2010,132310314.8824875,95642.873618325
ADAMS,CO,2011,157915064.4477,112980.4649918
ADAMS,CO,2012,161239588.1745,114884.426734
ADAMS,CO,2013,134259160.6606125,96553.492832075
ADAMS,CO,2014,143399189.8215375,102529.266836025
ADAMS,CO,2015,133377990.2712,94769.2558708
ADAMS,CO,2016,122748846.60960001,87137.0388464
ADAMS,CO,2017,111302795.3127,79007.16550179999
ADAMS,CO,2018,93363555.5229,66252.17670859999
ADAMS,CO,2019,79432852.9698,56379.9225732
ADAMS,IA,2006,664821.7875,503.653625
ADAMS,IA,2007,970573.3875,724.641025
ADAMS,IA,2008,998224.35,742.7218499999999
ADAMS,IA,2009,1057132.0125,787.845825
ADAMS,IA,2010,415339.9125,339.249475
ADAMS,IA,2011,284170.65,247.41415
ADAMS,IA,2012,307704.75,276.7755
ADAMS,IA,2013,301538.1375,274.531075
ADAMS,IA,2014,302525.3625,271.708175
ADAMS,IA,2015,343856.4,296.79015000000004
ADAMS,IA,2016,379011.04500000004,314.68717
ADAMS,IA,2017,233451.8475,204.65178500000002
ADAMS,IA,2018,184274.055,166.47852999999998
ADAMS,IA,2019,121259.92499999999,104.45054999999999
ADAMS,ID,2006,8778.300000000001,8.778300000000002
ADAMS,ID,2007,5751.300000000001,5.7513000000000005
ADAMS,ID,2008,3632.4000000000005,3.6324000000000005
ADAMS,ID,2009,3935.1000000000004,3.9351000000000003
ADAMS,ID,2010,4540.5,4.540500000000001
